country_name,Density(P/Km2),Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Country name,Happiness Score,Social support,Freedom to make life choices,Generosity,Perceptions of corruption
Hungary,107,9.6,45537.0,0.033,1.54,160967157504.0,3.6,75.8,12.0,2.62,0.29,3.41,9769949.0,0.23,0.379,0.034,6999582.0,47.162494,19.503304,Hungary,5.992,0.943,0.755,-0.186,0.876
Thailand,137,10.34,283763.0,0.007,1.53,543649976166.0,7.8,76.9,37.0,1.06,0.118,0.81,69625582.0,0.149,0.295,0.0075,35294600.0,15.870032,100.992541,Thailand,5.985,0.888,0.884,0.287,0.895
Nicaragua,55,20.64,5592.0,0.054,2.4,12520915291.0,15.7,74.3,98.0,0.54,0.36,0.98,6545502.0,0.156,0.606,0.0684,3846137.0,12.865416,-85.207229,Nicaragua,5.972,0.864,0.836,0.02,0.664
Japan,347,7.4,1135886.0,0.005,1.42,5081769542380.0,1.8,84.2,5.0,6.77,0.131,2.41,126226568.0,0.119,0.467,0.0229,115782416.0,36.204824,138.252924,Japan,5.94,0.884,0.796,-0.258,0.638
Argentina,17,17.02,201348.0,0.535,2.26,449663446954.0,8.8,76.5,39.0,3.35,0.176,3.96,44938712.0,0.101,1.063,0.0979,41339571.0,-38.416097,-63.616672,Argentina,5.929,0.898,0.828,-0.182,0.834
Portugal,111,8.5,48742.0,0.003,1.38,237686075635.0,3.1,81.3,8.0,3.78,0.277,5.12,10269417.0,0.228,0.398,0.0633,6753579.0,39.399872,-8.224454,Portugal,5.929,0.879,0.892,-0.244,0.887
Honduras,89,21.6,9813.0,0.044,2.46,25095395475.0,15.1,75.1,65.0,1.01,0.491,0.31,9746117.0,0.173,0.391,0.0539,5626433.0,15.199999,-86.241905,Honduras,5.919,0.812,0.857,0.081,0.809
Croatia,73,9.0,17488.0,0.008,1.47,60415553039.0,4.0,78.1,8.0,2.92,0.152,3.0,4067500.0,0.22,0.205,0.0693,2328318.0,45.1,15.2,Croatia,5.882,0.924,0.754,-0.118,0.939
Philippines,368,20.55,122287.0,0.025,2.58,376795508680.0,22.5,71.1,121.0,1.12,0.535,0.6,108116615.0,0.14,0.431,0.0215,50975903.0,12.879721,121.774017,Philippines,5.88,0.83,0.917,-0.097,0.742
South Korea,527,6.4,620302.0,0.004,0.98,2029000000000.0,2.7,82.6,11.0,6.49,0.368,2.36,51709098.0,0.156,0.332,0.0415,42106719.0,35.907757,127.766922,South Korea,5.845,0.799,0.672,-0.083,0.727
Peru,26,17.95,57414.0,0.021,2.25,226848050820.0,11.1,76.5,88.0,1.28,0.309,1.27,32510453.0,0.143,0.368,0.0331,25390339.0,-9.189967,-75.015152,Peru,5.84,0.832,0.822,-0.154,0.891
Bosnia and Herzegovina,64,8.11,21848.0,0.006,1.27,20047848435.0,5.0,77.3,10.0,1.04,0.286,2.16,3301000.0,0.204,0.237,0.1842,1605144.0,43.915886,17.679076,Bosnia and Herzegovina,5.813,0.87,0.706,0.113,0.931
Moldova,123,10.1,5115.0,0.048,1.26,11955435457.0,13.6,71.8,19.0,0.31,0.462,3.21,2657637.0,0.177,0.387,0.0547,1135502.0,47.411631,28.369885,Moldova,5.766,0.857,0.822,-0.079,0.918
Ecuador,71,19.72,41155.0,0.003,2.43,107435665000.0,12.2,76.8,59.0,2.46,0.437,2.04,17373662.0,,0.344,0.0397,11116711.0,-1.831239,-78.183406,Ecuador,5.764,0.821,0.842,-0.124,0.843
Kyrgyzstan,34,27.1,9787.0,0.011,3.3,8454619608.0,16.9,71.4,60.0,0.09,0.482,1.88,6456900.0,0.18,0.29,0.0633,2362644.0,41.20438,74.766098,Kyrgyzstan,5.744,0.893,0.935,0.119,0.908
Greece,81,8.1,62434.0,0.002,1.35,209852761469.0,3.6,81.3,3.0,4.46,0.355,5.48,10716322.0,0.262,0.519,0.1724,8507474.0,39.074208,21.824312,Greece,5.723,0.823,0.582,-0.288,0.823
Bolivia,11,21.75,21606.0,0.018,2.73,40895322865.0,21.8,71.2,155.0,1.36,0.259,1.59,11513100.0,0.17,0.837,0.035,8033035.0,-16.290154,-63.588653,Bolivia,5.716,0.81,0.875,-0.077,0.839
Mongolia,2,24.13,25368.0,0.073,2.9,13852850259.0,14.0,69.7,45.0,0.65,0.393,2.86,3225167.0,0.168,0.257,0.0601,2210626.0,46.862496,103.846656,Mongolia,5.677,0.935,0.708,0.116,0.856
Paraguay,18,20.57,7407.0,0.028,2.43,38145288940.0,17.2,74.1,129.0,1.55,0.365,1.35,7044636.0,0.1,0.35,0.0481,4359150.0,-23.442503,-58.443832,Paraguay,5.653,0.893,0.876,0.028,0.882
Montenegro,47,11.73,2017.0,0.026,1.75,5494736901.0,2.3,76.8,6.0,1.23,0.318,2.76,622137.0,,0.222,0.1488,417765.0,42.708678,19.37439,Montenegro,5.581,0.858,0.708,-0.034,0.812
Dominican Republic,225,19.51,25258.0,0.018,2.35,88941298258.0,24.1,73.9,95.0,0.4,0.437,1.56,10738958.0,0.13,0.488,0.0584,8787475.0,18.735693,-70.162651,Dominican Republic,5.545,0.853,0.86,-0.133,0.714
Belarus,47,9.9,58280.0,0.056,1.45,63080457023.0,2.6,74.2,2.0,1.49,0.345,5.19,9466856.0,0.147,0.533,0.0459,7482982.0,53.709807,27.953389,Belarus,5.534,0.91,0.65,-0.18,0.627
Russia,9,11.5,1732027.0,0.045,1.57,1699876578871.0,6.1,72.7,17.0,0.53,0.364,4.01,144373535.0,0.114,0.462,0.0459,107683889.0,61.52401,105.318756,Russia,5.477,0.903,0.718,-0.111,0.845
Tajikistan,68,30.76,5310.0,0.06,3.59,8116626794.0,30.4,70.9,17.0,0.23,0.631,1.7,9321018.0,0.098,0.673,0.1102,2545477.0,38.861034,71.276093,Tajikistan,5.466,0.86,0.832,-0.056,0.553
Vietnam,314,16.75,192668.0,0.028,2.05,261921244843.0,16.5,75.3,43.0,0.73,0.435,0.82,96462106.0,0.191,0.376,0.0201,35332140.0,14.058324,108.277199,Vietnam,5.411,0.85,0.94,-0.098,0.796
Libya,4,18.83,50564.0,0.026,2.24,52076250948.0,10.2,72.7,72.0,1.88,0.367,2.09,6777452.0,,0.326,0.1856,5448597.0,26.3351,17.228331,Libya,5.41,0.827,0.771,-0.087,0.667
Malaysia,99,16.75,248289.0,0.007,2.0,364701517788.0,6.7,76.0,29.0,0.93,0.367,1.51,32447385.0,0.12,0.387,0.0332,24475766.0,4.210484,101.975766,Malaysia,5.384,0.817,0.895,0.125,0.839
