country_name,Density(P/Km2),Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Country name,Happiness Score,Social support,Freedom to make life choices,Generosity,Perceptions of corruption
Liberia,53,33.04,1386.0,0.236,4.32,3070518100.0,53.5,63.7,661.0,0.17,0.196,0.04,4937374.0,0.129,0.462,0.0281,2548426.0,6.428055,-9.429499,Liberia,4.625,0.72,0.735,0.05,0.85
Kenya,94,28.75,17910.0,0.047,3.49,95503088538.0,30.6,66.3,342.0,0.25,0.334,0.16,52573973.0,0.151,0.372,0.0264,14461523.0,-0.023559,37.906193,Kenya,4.607,0.688,0.779,0.287,0.825
Tunisia,76,17.56,29937.0,0.067,2.2,38797709924.0,14.6,76.5,43.0,0.47,0.398,1.3,11694719.0,0.211,0.607,0.1602,8099061.0,33.886917,9.537499,Tunisia,4.596,0.691,0.656,-0.201,0.87
Lebanon,667,17.55,24796.0,0.03,2.09,53367042272.0,6.4,78.9,29.0,2.15,0.321,2.1,6855713.0,0.153,0.322,0.0623,6084994.0,33.854721,35.862285,Lebanon,4.584,0.848,0.525,-0.073,0.898
Namibia,3,28.64,4228.0,0.037,3.4,12366527719.0,29.0,63.4,195.0,,0.083,0.42,2494530.0,0.271,0.207,0.2027,1273258.0,-22.95764,18.49041,Namibia,4.574,0.818,0.719,-0.149,0.847
Myanmar,83,17.55,25280.0,0.088,2.15,76085852617.0,36.8,66.9,250.0,0.39,0.739,0.68,54045420.0,0.054,0.312,0.0158,16674093.0,21.916221,95.955974,Myanmar,4.426,0.779,0.876,0.509,0.66
Jordan,115,21.98,25108.0,0.008,2.76,43743661972.0,13.9,74.4,46.0,1.49,0.251,2.32,10101694.0,0.151,0.286,0.1472,9213048.0,30.585164,36.238414,Jordan,4.395,0.767,0.755,-0.167,0.705
Chad,13,42.17,1016.0,-0.01,5.75,11314951343.0,71.4,54.0,1140.0,0.6,0.564,0.04,15946876.0,,0.635,0.0189,3712273.0,15.454166,18.732207,Chad,4.355,0.619,0.579,0.041,0.807
Sri Lanka,341,15.83,23362.0,0.035,2.2,84008783756.0,6.4,76.8,36.0,0.35,0.384,1.0,21803000.0,0.119,0.552,0.042,4052088.0,7.873054,80.771797,Sri Lanka,4.325,0.827,0.841,0.079,0.863
Comoros,467,31.88,202.0,-0.043,4.21,1185728677.0,51.3,64.1,273.0,0.71,0.748,0.27,850886.0,,2.196,0.0434,248152.0,-11.6455,43.3333,Comoros,4.289,0.626,0.548,0.082,0.781
Egypt,103,26.38,238560.0,0.092,3.33,303175127598.0,18.1,71.8,37.0,,0.62,0.45,100388073.0,0.125,0.444,0.1076,42895824.0,26.820553,30.802498,Egypt,4.283,0.75,0.749,-0.182,0.795
Ethiopia,115,32.34,14870.0,0.158,4.25,96107662398.0,39.1,66.2,401.0,,0.378,0.08,112078730.0,0.075,0.377,0.0208,23788710.0,9.145,40.489673,Ethiopia,4.275,0.764,0.752,0.082,0.761
Mauritania,5,33.69,2739.0,0.023,4.56,7593752450.0,51.5,64.7,766.0,0.53,0.482,0.19,4525696.0,,0.67,0.0955,2466821.0,21.00789,-10.940835,Mauritania,4.227,0.795,0.561,-0.106,0.731
Madagascar,48,32.66,3905.0,0.056,4.08,14083906357.0,38.2,66.7,335.0,0.21,0.217,0.18,26969307.0,0.102,0.383,0.0176,10210849.0,-18.766947,46.869107,Madagascar,4.208,0.686,0.552,-0.005,0.803
Togo,152,33.11,3000.0,0.007,4.32,5459979417.0,47.4,60.8,396.0,0.34,0.51,0.08,8082366.0,0.169,0.482,0.0204,3414638.0,8.619543,0.824782,Togo,4.107,0.569,0.619,0.032,0.772
Zambia,25,36.19,5141.0,0.092,4.63,23064722446.0,40.4,63.5,213.0,0.24,0.275,1.19,17861030.0,0.162,0.156,0.1143,7871713.0,-13.133897,27.849332,Zambia,4.073,0.708,0.782,0.061,0.823
Sierra Leone,111,33.41,1093.0,0.148,4.26,3941474311.0,78.5,54.3,1120.0,0.57,0.382,0.03,7813215.0,0.086,0.307,0.0443,3319366.0,8.460555,-11.779889,Sierra Leone,3.849,0.63,0.717,0.084,0.866
India,464,17.86,2407672.0,0.077,2.22,2611000000000.0,29.9,69.4,145.0,0.3,0.651,0.86,1366417754.0,0.112,0.497,0.0536,471031528.0,20.593684,78.96288,India,3.819,0.603,0.893,0.089,0.774
Burundi,463,39.01,495.0,-0.007,5.41,3012334882.0,41.0,61.2,548.0,,0.191,0.1,11530580.0,0.136,0.412,0.0143,1541177.0,-3.373056,29.918886,Burundi,3.775,0.49,0.626,-0.024,0.607
Yemen,56,30.45,10609.0,0.081,3.79,26914402224.0,42.9,66.1,164.0,,0.81,0.31,29161922.0,,0.266,0.1291,10869523.0,15.552727,48.516388,Yemen,3.658,0.832,0.602,-0.147,0.8
Tanzania,67,36.7,11973.0,0.035,4.89,63177068175.0,37.6,65.0,524.0,0.09,0.261,0.01,58005463.0,0.115,0.438,0.0198,20011885.0,-6.369028,34.888822,Tanzania,3.623,0.702,0.833,0.183,0.577
Haiti,414,24.35,2978.0,0.125,2.94,8498981821.0,49.5,63.7,480.0,0.25,0.363,0.23,11263077.0,,0.427,0.1378,6328948.0,18.971187,-72.285215,Haiti,3.615,0.54,0.593,0.422,0.721
Malawi,203,34.12,1298.0,0.094,4.21,7666704427.0,35.3,63.8,349.0,0.12,0.11,0.04,18628747.0,0.173,0.345,0.0565,3199301.0,-13.254308,34.301525,Malawi,3.6,0.537,0.78,0.038,0.729
Lesotho,71,26.81,2512.0,0.052,3.14,2460072444.0,65.7,53.7,544.0,0.41,0.169,0.07,2125268.0,0.316,0.136,0.2341,607508.0,-29.609988,28.233608,Lesotho,3.512,0.787,0.715,-0.131,0.915
Botswana,4,24.82,6340.0,0.028,2.87,18340510789.0,30.0,69.3,144.0,0.29,0.053,0.37,2346179.0,0.195,0.251,0.1819,1616550.0,-22.328474,24.684866,Botswana,3.467,0.784,0.824,-0.246,0.801
Rwanda,525,31.7,1115.0,0.034,4.04,10122472590.0,27.0,68.7,248.0,,0.26,0.13,12626950.0,0.143,0.332,0.0103,2186104.0,-1.940278,29.873888,Rwanda,3.415,0.552,0.897,0.061,0.167
Zimbabwe,38,30.68,10983.0,0.009,3.62,21440758800.0,33.9,61.2,458.0,,0.258,0.21,14645468.0,0.207,0.316,0.0495,4717305.0,-19.015438,29.154857,Zimbabwe,3.145,0.75,0.677,-0.047,0.821
Afghanistan,60,32.49,8672.0,0.023,4.47,19101353833.0,47.9,64.5,638.0,0.43,0.784,0.28,38041754.0,0.093,0.714,0.1112,9797273.0,33.93911,67.709953,Afghanistan,2.523,0.463,0.382,-0.102,0.924
